time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676232111.411926	5.118	0.0	0.0	0.0	0.0	0.05	0.0	1.0	0.05	39.0	45.0	57.0	39.0	
1676232111.6122181	5.092	0.095	0.0	0.0	0.048	0.048	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232111.8125107	5.092	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	45.0	57.0	39.0	
1676232112.0128005	5.092	0.091	0.0	0.0	0.05	0.048	0.0	1.0	0.0	39.0	44.0	57.0	39.0	
1676232112.2130961	5.092	0.0	0.0	0.0	0.048	0.0	0.0	1.0	0.0	38.0	44.0	57.0	39.0	
1676232112.413391	5.092	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	44.0	57.0	39.0	
1676232112.613685	5.088	0.05	0.0	0.0	0.0	0.0	0.05	1.0	0.0	38.0	44.0	57.0	39.0	
1676232112.8139806	5.088	0.105	0.0	0.0	0.0	0.0	0.0	1.0	0.105	39.0	45.0	57.0	39.0	
1676232113.0142686	5.088	0.05	0.048	0.048	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232113.2145677	5.088	0.05	0.055999999999999994	0.0	0.048	0.0	0.095	1.0	0.0	38.0	45.0	57.0	39.0	
1676232113.4148629	5.088	0.05	0.105	0.0	0.0	0.0	0.091	1.0	0.0	39.0	45.0	57.0	39.0	
1676232113.6151757	5.118	0.0	0.053	0.053	0.0	0.0	0.0	1.0	0.0	38.0	44.0	57.0	39.0	
1676232113.8154767	5.118	0.1	0.1	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	57.0	39.0	
1676232114.015778	5.118	0.0	0.053	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	57.0	39.0	
1676232114.2160783	5.118	0.095	0.105	0.0	0.0	0.048	0.0	1.0	0.0	38.0	45.0	57.0	39.0	
1676232114.4163756	5.118	0.0	0.055999999999999994	0.0	0.05	0.048	0.0	1.0	0.053	39.0	45.0	57.0	39.0	
1676232114.616679	5.248	0.05	0.055999999999999994	0.0	0.0	0.05	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232114.8169749	5.248	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232115.0172648	5.248	0.048	0.0	0.0	0.0	0.0	0.0	1.0	0.0	38.0	45.0	57.0	39.0	
1676232115.2175596	5.248	0.0	0.05	0.0	0.0	0.0	0.0	1.0	0.0	38.0	44.0	57.0	39.0	
1676232115.4178457	5.248	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	44.0	57.0	39.0	
1676232115.6181448	5.042	0.095	0.053	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232115.8184438	5.042	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1	39.0	45.0	57.0	40.0	
1676232116.0187435	5.042	0.095	0.0	0.0	0.05	0.0	0.0	1.0	0.0	39.0	44.0	57.0	39.0	
1676232116.2190375	5.042	0.0	0.0	0.0	0.048	0.048	0.0	1.0	0.05	39.0	45.0	57.0	39.0	
1676232116.4193244	5.042	0.095	0.0	0.05	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232116.6196232	5.042	0.0	0.0	0.0	0.0	0.05	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232116.8199127	5.126	0.0	0.0	0.0	0.0	0.048	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232117.0202026	5.126	0.0	0.0	0.048	0.05	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232117.2204955	5.126	0.095	0.0	0.0	0.0	0.048	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232117.4207911	5.126	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1	39.0	45.0	57.0	39.0	
1676232117.6210947	5.34	0.095	0.0	0.0	0.0	0.048	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232117.8213904	5.34	0.0	0.0	0.0	0.0	0.0	0.05	1.0	0.0	39.0	45.0	57.0	39.0	
1676232118.021679	5.34	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232118.2219744	5.34	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232118.4222627	5.34	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232118.6225567	5.088	0.05	0.0	0.0	0.05	0.0	0.05	1.0	0.0	39.0	45.0	57.0	39.0	
1676232118.8228636	5.088	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.05	39.0	45.0	57.0	40.0	
1676232119.0231638	5.088	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.053	39.0	45.0	57.0	39.0	
1676232119.2234612	5.088	0.095	0.0	0.0	0.0	0.05	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232119.423757	5.088	0.0	0.0	0.0	0.0	0.05	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232119.6240501	5.088	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232119.824349	5.164	0.1	0.0	0.0	0.048	0.048	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232120.0246525	5.164	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232120.2249448	5.164	0.05	0.0	0.0	0.0	0.05	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232120.4252408	5.164	0.0	0.0	0.0	0.048	0.0	0.0	1.0	0.105	39.0	45.0	57.0	40.0	
1676232120.6255455	5.076	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232120.8258383	5.076	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232121.02615	5.076	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232121.2264476	5.076	0.05	0.0	0.0	0.048	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232121.4267414	5.076	0.048	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232121.6270413	5.076	0.0	0.0	0.0	0.048	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232121.82734	5.145	0.048	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232122.0276525	5.145	0.0	0.091	0.0	0.0	0.05	0.0	1.0	0.105	39.0	45.0	57.0	39.0	
1676232122.2279449	5.145	0.091	0.0	0.0	0.0	0.0	0.048	1.0	0.0	39.0	45.0	57.0	39.0	
1676232122.4282377	5.145	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232122.6285362	4.935	0.0	0.0	0.0	0.0	0.05	0.05	1.0	0.048	39.0	45.0	57.0	39.0	
1676232122.8288317	4.935	0.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232123.029119	4.935	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.048	39.0	45.0	57.0	39.0	
1676232123.2294128	4.935	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232123.4297087	4.935	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.105	39.0	45.0	57.0	40.0	
1676232123.6300144	5.13	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232123.8303072	5.13	0.0	0.0	0.0	0.048	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232124.0306022	5.13	0.048	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232124.2308939	5.13	0.053	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232124.4311905	5.13	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232124.6314967	5.13	0.0	0.0	0.0	0.048	0.0	0.091	1.0	0.0	39.0	45.0	57.0	39.0	
1676232124.8317792	5.13	0.05	0.0	0.0	0.048	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232125.03207	5.13	0.0	0.0	0.048	0.048	0.0	0.0	1.0	0.1	39.0	45.0	57.0	39.0	
1676232125.2323549	5.191	0.05	0.0	0.0	0.0	0.0	0.095	1.0	0.0	39.0	45.0	57.0	39.0	
1676232125.432654	5.191	0.0	0.0	0.0	0.0	0.0	0.048	1.0	0.0	39.0	45.0	57.0	39.0	
1676232125.632955	5.191	0.091	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232125.8332367	5.191	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232126.0335217	5.191	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232126.2338202	5.157	0.05	0.0	0.0	0.0	0.0	0.05	1.0	0.0	39.0	45.0	57.0	39.0	
1676232126.4341166	5.157	0.048	0.0	0.0	0.0	0.0	0.0	1.0	0.048	39.0	45.0	57.0	40.0	
1676232126.634411	5.157	0.0	0.0	0.0	0.048	0.0	0.0	1.0	0.1	39.0	45.0	57.0	39.0	
1676232126.8347108	4.95	0.158	0.048	0.0	0.05	0.0	0.0	1.0	0.0	39.0	46.0	57.0	39.0	
1676232127.0350015	4.95	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232127.2352958	4.95	0.1	0.0	0.0	0.048	0.0	0.0	1.0	0.0	39.0	46.0	57.0	39.0	
1676232127.435587	4.95	0.0	0.0	0.0	0.0	0.0	0.05	1.0	0.0	39.0	45.0	57.0	39.0	
1676232127.6358871	5.168	0.095	0.0	0.0	0.0	0.0	0.05	1.0	0.0	39.0	45.0	57.0	39.0	
1676232127.8361785	5.168	0.05	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232128.0364773	5.168	0.0	0.0	0.0	0.048	0.0	0.05	1.0	0.14300000000000002	39.0	45.0	57.0	40.0	
1676232128.2367752	5.168	0.0	0.048	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232128.4370844	5.168	0.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232128.637379	5.134	0.0	0.0	0.0	0.0	0.05	0.0	1.0	0.0	39.0	46.0	57.0	39.0	
1676232128.8376803	5.134	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232129.0379612	5.134	0.095	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232129.2382402	5.134	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
1676232129.4385228	5.134	0.05	0.0	0.0	0.05	0.0	0.0	1.0	0.0	39.0	45.0	57.0	39.0	
