time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1676265050.157265	5.752	0.0	0.0	0.0	0.0	1.0	0.1	0.0	0.0	56.0	45.0	44.0	40.0	
1676265050.3575602	5.752	0.0	0.0	0.0	0.0	1.0	0.05	0.0	0.0	56.0	45.0	44.0	40.0	
1676265050.5578341	5.752	0.091	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	43.0	40.0	
1676265050.7581093	5.752	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	43.0	40.0	
1676265050.9583855	5.725	0.1	0.0	0.0	0.0	1.0	0.0	0.0	0.05	56.0	45.0	44.0	40.0	
1676265051.158656	5.725	0.0	0.0	0.0	0.0	1.0	0.105	0.0	0.0	55.0	47.0	44.0	40.0	
1676265051.3589637	5.725	0.05	0.0	0.0	0.0	1.0	0.095	0.0	0.0	56.0	45.0	44.0	40.0	
1676265051.559232	5.725	0.05	0.0	0.048	0.0	1.0	0.0	0.0	0.0	56.0	44.0	44.0	40.0	
1676265051.7595162	5.725	0.05	0.0	0.0	0.0	1.0	0.1	0.05	0.0	56.0	45.0	44.0	40.0	
1676265051.9597895	5.725	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	44.0	44.0	40.0	
1676265052.160054	5.725	0.0	0.0	0.048	0.0	1.0	0.0	0.0	0.0	56.0	44.0	44.0	40.0	
1676265052.36034	5.725	0.0	0.0	0.0	0.0	1.0	0.0	0.048	0.0	56.0	45.0	44.0	40.0	
1676265052.5606039	5.725	0.0	0.0	0.0	0.0	1.0	0.048	0.05	0.0	56.0	44.0	44.0	40.0	
1676265052.7608843	5.725	0.05	0.0	0.0	0.0	1.0	0.1	0.0	0.0	56.0	45.0	44.0	40.0	
1676265052.9611697	5.714	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265053.1614609	5.714	0.0	0.0	0.0	0.0	1.0	0.053	0.0	0.0	55.0	46.0	44.0	40.0	
1676265053.3617697	5.714	0.095	0.0	0.0	0.0	1.0	0.05	0.095	0.05	56.0	45.0	44.0	40.0	
1676265053.562036	5.714	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265053.7622983	5.714	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	44.0	44.0	40.0	
1676265053.9625776	5.718	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265054.1628408	5.718	0.05	0.0	0.0	0.0	1.0	0.0	0.048	0.0	56.0	44.0	43.0	40.0	
1676265054.3631399	5.718	0.05	0.0	0.0	0.0	1.0	0.15	0.0	0.05	56.0	45.0	44.0	40.0	
1676265054.5634143	5.718	0.05	0.0	0.0	0.0	1.0	0.0	0.048	0.0	56.0	45.0	44.0	40.0	
1676265054.7637098	5.733	0.0	0.0	0.0	0.0	1.0	0.105	0.0	0.0	56.0	45.0	44.0	40.0	
1676265054.963994	5.733	0.14300000000000002	0.0	0.0	0.0	1.0	0.048	0.0	0.0	56.0	45.0	44.0	40.0	
1676265055.1642659	5.733	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265055.3645544	5.733	0.1	0.0	0.0	0.0	1.0	0.0	0.05	0.0	56.0	45.0	44.0	40.0	
1676265055.5648258	5.733	0.05	0.0	0.0	0.0	1.0	0.0	0.048	0.0	56.0	45.0	44.0	40.0	
1676265055.7651122	5.733	0.0	0.0	0.0	0.0	1.0	0.14300000000000002	0.0	0.0	56.0	45.0	44.0	40.0	
1676265055.965388	5.741	0.095	0.0	0.0	0.0	1.0	0.0	0.0	0.05	56.0	45.0	44.0	40.0	
1676265056.1656523	5.741	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265056.365948	5.741	0.095	0.0	0.0	0.0	1.0	0.14300000000000002	0.05	0.0	56.0	45.0	44.0	40.0	
1676265056.5662248	5.741	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265056.7664945	5.741	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265056.966772	5.741	0.05	0.0	0.048	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265057.167042	5.721	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265057.3673275	5.721	0.0	0.0	0.0	0.0	1.0	0.105	0.048	0.0	56.0	45.0	44.0	40.0	
1676265057.567594	5.721	0.0	0.0	0.0	0.0	1.0	0.048	0.0	0.0	56.0	45.0	44.0	40.0	
1676265057.7678843	5.721	0.095	0.0	0.0	0.0	1.0	0.14300000000000002	0.048	0.0	56.0	46.0	44.0	40.0	
1676265057.968162	5.615	0.0	0.0	0.048	0.0	1.0	0.05	0.048	0.0	56.0	45.0	44.0	40.0	
1676265058.1684282	5.615	0.091	0.0	0.0	0.0	1.0	0.0	0.05	0.0	56.0	45.0	44.0	40.0	
1676265058.3687131	5.615	0.0	0.05	0.0	0.0	1.0	0.0	0.0	0.0	56.0	45.0	44.0	40.0	
1676265058.5689807	5.615	0.05	0.0	0.0	0.0	1.0	0.0	0.05	0.0	56.0	45.0	44.0	40.0	
1676265058.7692726	5.744	0.095	0.0	0.0	0.0	1.0	0.105	0.0	0.0	55.0	47.0	44.0	40.0	
1676265058.969558	5.744	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	43.0	43.0	43.0	39.0	
1676265059.1698139	5.744	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	41.0	42.0	38.0	
1676265059.3701	5.744	0.05	0.0	0.0	0.0	0.05	0.15	0.0	0.048	39.0	40.0	41.0	37.0	
1676265059.570359	5.744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	39.0	40.0	36.0	
1676265059.770613	5.744	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	38.0	39.0	36.0	
1676265059.9708848	2.962	0.14300000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	37.0	39.0	35.0	
1676265060.1711464	2.962	0.053	0.0	0.0	0.0	0.0	0.0	0.048	0.0	37.0	37.0	38.0	35.0	
1676265060.3714192	2.962	0.095	0.048	0.048	0.0	0.0	0.1	0.095	0.0	36.0	37.0	38.0	35.0	
1676265060.5716867	2.962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	37.0	38.0	35.0	
1676265060.7719564	2.962	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	36.0	38.0	34.0	
1676265060.9722311	2.935	0.053	0.0	0.0	0.0	0.0	0.1	0.05	0.0	36.0	36.0	37.0	34.0	
1676265061.1724896	2.935	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	36.0	37.0	34.0	
1676265061.3727624	2.935	0.0	0.091	0.0	0.0	0.0	0.0	0.048	0.05	35.0	36.0	37.0	34.0	
1676265061.5730307	2.935	0.35	0.0	0.0	0.0	0.0	0.048	0.05	0.055999999999999994	36.0	36.0	37.0	34.0	
1676265061.7733073	2.935	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	35.0	36.0	37.0	34.0	
1676265061.9735904	3.179	0.05	0.0	0.048	0.0	0.0	0.1	0.0	0.0	35.0	36.0	37.0	34.0	
1676265062.173852	3.179	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	37.0	34.0	
1676265062.3741367	3.179	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	35.0	36.0	37.0	34.0	
1676265062.5743945	3.179	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.05	35.0	35.0	37.0	34.0	
1676265062.7746477	3.179	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	36.0	33.0	
1676265062.974916	2.882	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	35.0	36.0	33.0	
1676265063.1751783	2.882	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	35.0	36.0	33.0	
1676265063.3754652	2.882	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	35.0	36.0	36.0	33.0	
1676265063.5757356	2.882	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	35.0	36.0	33.0	
1676265063.7759938	2.882	0.0	0.0	0.0	0.0	0.0	0.0	0.095	0.0	34.0	34.0	36.0	33.0	
1676265063.976265	2.844	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.05	34.0	35.0	36.0	33.0	
1676265064.176523	2.844	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	36.0	33.0	
1676265064.3767874	2.844	0.05	0.0	0.0	0.0	0.05	0.0	0.0	0.0	34.0	34.0	36.0	33.0	
1676265064.577049	2.844	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	36.0	33.0	
1676265064.7773025	2.844	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	36.0	33.0	
1676265064.977593	2.721	0.053	0.0	0.0	0.0	0.0	0.15	0.0	0.048	34.0	35.0	36.0	33.0	
1676265065.17785	2.721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	36.0	33.0	
1676265065.3781338	2.721	0.05	0.0	0.0	0.0	0.0	0.1	0.0	0.0	34.0	36.0	36.0	33.0	
1676265065.5783978	2.721	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	36.0	33.0	
1676265065.7786632	2.721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	35.0	33.0	
1676265065.978932	2.863	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	36.0	32.0	
1676265066.1791897	2.863	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	35.0	32.0	
1676265066.379477	2.863	0.05	0.0	0.0	0.0	0.05	0.095	0.0	0.05	34.0	36.0	35.0	32.0	
1676265066.579749	2.863	0.05	0.048	0.0	0.0	0.0	0.05	0.048	0.0	34.0	34.0	36.0	33.0	
1676265066.7800062	2.863	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.048	34.0	34.0	35.0	32.0	
1676265066.9802823	2.958	0.095	0.0	0.0	0.0	0.0	0.14300000000000002	0.0	0.05	34.0	34.0	36.0	33.0	
1676265067.1805413	2.958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	34.0	34.0	35.0	32.0	
1676265067.3808117	2.958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	34.0	34.0	35.0	32.0	
1676265067.5810788	2.958	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	35.0	32.0	
1676265067.7813418	2.718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	35.0	32.0	
1676265067.981632	2.718	0.1	0.0	0.0	0.0	0.0	0.14300000000000002	0.048	0.0	34.0	34.0	35.0	32.0	
1676265068.1818984	2.718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	34.0	35.0	32.0	
1676265068.3821733	2.718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	35.0	32.0	
1676265068.5824542	2.718	0.05	0.0	0.0	0.0	0.0	0.105	0.05	0.0	34.0	34.0	36.0	32.0	
1676265068.7827232	2.958	0.095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	34.0	35.0	32.0	
1676265068.9830034	2.958	0.05	0.0	0.0	0.0	0.5710000000000001	0.0	0.0	0.0	47.0	36.0	36.0	33.0	
1676265069.1832688	2.958	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	50.0	38.0	38.0	35.0	
1676265069.3835537	2.958	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.05	51.0	40.0	39.0	36.0	
1676265069.583838	2.958	0.0	0.0	0.0	0.0	1.0	0.15	0.05	0.0	52.0	41.0	40.0	37.0	
1676265069.7841017	2.958	0.091	0.0	0.0	0.0	1.0	0.0	0.0	0.048	53.0	41.0	40.0	37.0	
1676265069.9843884	5.909	0.0	0.0	0.0	0.0	1.0	0.1	0.0	0.0	53.0	42.0	41.0	37.0	
1676265070.1846569	5.909	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	53.0	42.0	41.0	38.0	
1676265070.3849323	5.909	0.095	0.0	0.0	0.0	1.0	0.05	0.0	0.048	54.0	42.0	41.0	38.0	
1676265070.5851998	5.909	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	54.0	42.0	41.0	38.0	
1676265070.785461	5.909	0.05	0.0	0.0	0.0	1.0	0.05	0.0	0.0	54.0	43.0	42.0	38.0	
1676265070.985752	5.779	0.05	0.048	0.0	0.0	1.0	0.1	0.05	0.0	54.0	44.0	42.0	39.0	
1676265071.186027	5.779	0.048	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	43.0	42.0	39.0	
1676265071.386311	5.779	0.05	0.0	0.0	0.0	1.0	0.0	0.0	0.0	55.0	43.0	42.0	39.0	
1676265071.5865903	5.779	0.05	0.0	0.0	0.0	1.0	0.14300000000000002	0.0	0.0	55.0	44.0	43.0	39.0	
